client_id,round_number,hierarchy,num_samples,bytes_written,bytes_read,local_computations
f1328_01,549,,27,26414840,26414840,3168725040
f0687_43,549,,40,26414840,26414840,4753087560
f3478_49,550,,16,26414840,26414840,1980453150
f0654_02,550,,31,26414840,26414840,3564815670
f0673_28,550,,40,26414840,26414840,4753087560
f3478_49,551,,16,26414840,26414840,1980453150
f0954_02,551,,29,26414840,26414840,3432785460
f4043_08,551,,8,26414840,26414840,924211470
f3957_18,552,,18,26414840,26414840,2112483360
f3594_23,552,,17,26414840,26414840,1980453150
f0950_21,552,,30,26414840,26414840,3564815670
f3483_16,553,,18,26414840,26414840,2112483360
f0298_13,553,,38,26414840,26414840,4489027140
f3147_41,553,,19,26414840,26414840,2244513570
f3962_36,554,,18,26414840,26414840,2112483360
f0067_25,554,,26,26414840,26414840,3036694830
f1482_39,554,,37,26414840,26414840,4356996930
f3506_22,555,,17,26414840,26414840,1980453150
f3554_18,555,,18,26414840,26414840,2112483360
f2521_66,555,,17,26414840,26414840,1980453150
f2231_55,556,,17,26414840,26414840,1980453150
f1963_27,556,,18,26414840,26414840,2112483360
f2490_91,556,,18,26414840,26414840,2112483360
f1046_14,557,,35,26414840,26414840,4224966720
f2028_18,557,,14,26414840,26414840,1716392730
f1445_31,557,,35,26414840,26414840,4224966720
f1657_06,558,,15,26414840,26414840,1716392730
f1991_47,558,,16,26414840,26414840,1980453150
f0243_29,558,,41,26414840,26414840,4885117770
f1344_45,559,,25,26414840,26414840,2904664620
f1695_12,559,,17,26414840,26414840,1980453150
f2071_28,559,,18,26414840,26414840,2112483360
f3629_19,560,,18,26414840,26414840,2112483360
f1172_25,560,,30,26414840,26414840,3564815670
f3576_04,560,,19,26414840,26414840,2244513570
f2251_74,561,,15,26414840,26414840,1716392730
f0444_34,561,,41,26414840,26414840,4885117770
f3454_44,561,,19,26414840,26414840,2244513570
f0158_20,562,,40,26414840,26414840,4753087560
f1774_40,562,,18,26414840,26414840,2112483360
f1898_09,562,,13,26414840,26414840,1584362520
f0502_09,563,,40,26414840,26414840,4753087560
f0074_07,563,,30,26414840,26414840,3564815670
f2434_59,563,,16,26414840,26414840,1848422940
f0928_42,564,,39,26414840,26414840,4621057350
f0705_35,564,,35,26414840,26414840,4092936510
f0472_36,564,,42,26414840,26414840,5017147980
f0673_28,565,,40,26414840,26414840,4753087560
f2057_23,565,,15,26414840,26414840,1848422940
f0649_22,565,,30,26414840,26414840,3564815670
f0461_47,566,,41,26414840,26414840,4885117770
f3719_06,566,,18,26414840,26414840,2112483360
f0964_10,566,,27,26414840,26414840,3168725040
f1367_00,567,,23,26414840,26414840,2640604200
f2173_74,567,,17,26414840,26414840,2112483360
f2324_84,567,,17,26414840,26414840,2112483360
f3339_15,568,,16,26414840,26414840,1848422940
f1024_46,568,,37,26414840,26414840,4356996930
f3810_05,568,,15,26414840,26414840,1848422940
f3599_19,569,,17,26414840,26414840,1980453150
f1733_23,569,,11,26414840,26414840,1320302100
f0456_45,569,,38,26414840,26414840,4489027140
f0657_41,570,,27,26414840,26414840,3168725040
f0935_28,570,,35,26414840,26414840,4092936510
f1392_44,570,,36,26414840,26414840,4356996930
f2076_31,571,,17,26414840,26414840,2112483360
f1626_27,571,,16,26414840,26414840,1848422940
f3595_18,571,,15,26414840,26414840,1848422940
f0451_44,572,,42,26414840,26414840,5017147980
f3688_07,572,,17,26414840,26414840,2112483360
f3460_47,572,,18,26414840,26414840,2244513570
f0089_16,573,,37,26414840,26414840,4489027140
f3754_42,573,,18,26414840,26414840,2112483360
f2539_96,573,,16,26414840,26414840,1980453150
f3199_08,574,,18,26414840,26414840,2244513570
f1678_19,574,,18,26414840,26414840,2112483360
f0677_30,574,,22,26414840,26414840,2640604200
f1747_44,575,,14,26414840,26414840,1584362520
f3359_42,575,,18,26414840,26414840,2112483360
f3326_06,575,,18,26414840,26414840,2112483360
f3910_30,576,,17,26414840,26414840,2112483360
f2189_50,576,,18,26414840,26414840,2112483360
f0844_42,576,,30,26414840,26414840,3564815670
f2039_13,577,,15,26414840,26414840,1848422940
f0404_33,577,,38,26414840,26414840,4489027140
f1751_08,577,,15,26414840,26414840,1716392730
f2072_32,578,,17,26414840,26414840,1980453150
f1384_42,578,,14,26414840,26414840,1584362520
f1998_10,578,,18,26414840,26414840,2112483360
f0334_01,579,,28,26414840,26414840,3300755250
f0543_19,579,,35,26414840,26414840,4224966720
f1606_19,579,,16,26414840,26414840,1848422940
f1830_16,580,,17,26414840,26414840,1980453150
f3367_07,580,,18,26414840,26414840,2112483360
f2592_71,580,,15,26414840,26414840,1848422940
f0670_02,581,,25,26414840,26414840,2904664620
f0824_18,581,,28,26414840,26414840,3432785460
f1141_12,581,,29,26414840,26414840,3432785460
f3830_48,582,,17,26414840,26414840,1980453150
f3522_46,582,,19,26414840,26414840,2244513570
f3619_19,582,,16,26414840,26414840,1980453150
f1624_03,583,,16,26414840,26414840,1980453150
f1364_24,583,,28,26414840,26414840,3300755250
f2468_78,583,,18,26414840,26414840,2112483360
f0466_11,584,,41,26414840,26414840,4885117770
f1645_35,584,,18,26414840,26414840,2112483360
f2370_67,584,,18,26414840,26414840,2112483360
f3572_03,585,,16,26414840,26414840,1848422940
f1281_28,585,,34,26414840,26414840,4092936510
f2570_52,585,,18,26414840,26414840,2112483360
f3167_45,586,,17,26414840,26414840,1980453150
f2374_59,586,,19,26414840,26414840,2244513570
f1525_00,586,,17,26414840,26414840,1980453150
f2223_83,587,,18,26414840,26414840,2112483360
f3678_17,587,,19,26414840,26414840,2244513570
f0232_28,587,,29,26414840,26414840,3432785460
f3908_41,588,,18,26414840,26414840,2112483360
f0584_22,588,,30,26414840,26414840,3564815670
f1181_27,588,,32,26414840,26414840,3828876090
f1283_24,589,,27,26414840,26414840,3168725040
f2241_88,589,,18,26414840,26414840,2112483360
f1597_45,589,,16,26414840,26414840,1848422940
f0774_40,590,,38,26414840,26414840,4489027140
f2468_78,590,,18,26414840,26414840,2112483360
f1284_38,590,,24,26414840,26414840,2904664620
f0626_23,591,,34,26414840,26414840,3960906300
f2355_85,591,,18,26414840,26414840,2112483360
f0455_26,591,,24,26414840,26414840,2772634410
f4017_11,592,,16,26414840,26414840,1980453150
f3978_35,592,,17,26414840,26414840,1980453150
f0331_41,592,,31,26414840,26414840,3696845880
f0470_37,593,,36,26414840,26414840,4224966720
f0662_29,593,,32,26414840,26414840,3828876090
f0382_03,593,,38,26414840,26414840,4489027140
f2201_80,594,,18,26414840,26414840,2112483360
f1922_38,594,,16,26414840,26414840,1848422940
f0399_44,594,,40,26414840,26414840,4753087560
f2392_80,595,,18,26414840,26414840,2244513570
f1135_17,595,,31,26414840,26414840,3696845880
f2327_90,595,,16,26414840,26414840,1980453150
f3863_30,596,,17,26414840,26414840,1980453150
f0726_09,596,,30,26414840,26414840,3564815670
f0011_13,596,,43,26414840,26414840,5149178190
f1085_29,597,,19,26414840,26414840,2244513570
f0932_44,597,,36,26414840,26414840,4224966720
f3941_08,597,,17,26414840,26414840,1980453150
f2134_58,598,,16,26414840,26414840,1848422940
f4069_03,598,,18,26414840,26414840,2112483360
f1393_25,598,,38,26414840,26414840,4489027140
f3957_18,599,,18,26414840,26414840,2112483360
f3487_02,599,,17,26414840,26414840,2112483360
f0948_01,599,,31,26414840,26414840,3696845880
f1841_05,600,,18,26414840,26414840,2112483360
f1168_30,600,,32,26414840,26414840,3828876090
f3254_32,600,,12,26414840,26414840,1452332310
f3687_48,601,,18,26414840,26414840,2112483360
f1898_09,601,,13,26414840,26414840,1584362520
f0455_26,601,,24,26414840,26414840,2772634410
f3776_05,602,,17,26414840,26414840,2112483360
f1489_03,602,,21,26414840,26414840,2508573990
f3134_27,602,,18,26414840,26414840,2112483360
f2524_58,603,,15,26414840,26414840,1716392730
f0894_09,603,,39,26414840,26414840,4621057350
f0695_31,603,,37,26414840,26414840,4489027140
f0257_46,604,,38,26414840,26414840,4489027140
f0236_17,604,,30,26414840,26414840,3564815670
f2309_54,604,,14,26414840,26414840,1584362520
f2478_68,605,,14,26414840,26414840,1716392730
f1281_28,605,,34,26414840,26414840,4092936510
f1116_09,605,,35,26414840,26414840,4224966720
f3568_48,606,,18,26414840,26414840,2112483360
f2215_69,606,,15,26414840,26414840,1716392730
f0434_21,606,,32,26414840,26414840,3828876090
f1597_45,607,,16,26414840,26414840,1848422940
f0804_00,607,,41,26414840,26414840,4885117770
f1358_13,607,,15,26414840,26414840,1848422940
f1706_39,608,,16,26414840,26414840,1848422940
f2111_87,608,,18,26414840,26414840,2112483360
f0147_13,608,,36,26414840,26414840,4224966720
f2109_65,609,,17,26414840,26414840,1980453150
f3669_35,609,,18,26414840,26414840,2112483360
f1011_35,609,,16,26414840,26414840,1848422940
f0312_43,610,,42,26414840,26414840,5017147980
f0704_31,610,,35,26414840,26414840,4092936510
f2587_73,610,,18,26414840,26414840,2112483360
f1600_43,611,,17,26414840,26414840,1980453150
f0224_06,611,,40,26414840,26414840,4753087560
f0405_20,611,,35,26414840,26414840,4224966720
f3752_35,612,,18,26414840,26414840,2244513570
f1228_30,612,,16,26414840,26414840,1848422940
f0592_11,612,,24,26414840,26414840,2904664620
f1116_09,613,,35,26414840,26414840,4224966720
f0742_09,613,,29,26414840,26414840,3432785460
f3940_26,613,,17,26414840,26414840,2112483360
f1584_28,614,,17,26414840,26414840,2112483360
f0741_44,614,,32,26414840,26414840,3828876090
